threshold_A,threshold_B,accuracy,balanced_accuracy,valid_physical_pair,n,tp,tn,fp,fn
0.105,-0.115,0.9252,0.94725,True,2500,1821.0,492.0,8.0,179.0
0.105,-0.105,0.9296,0.95,True,2500,1832.0,492.0,8.0,168.0
0.105,-0.095,0.9352,0.9535,True,2500,1846.0,492.0,8.0,154.0
0.105,-0.085,0.9396,0.95625,True,2500,1857.0,492.0,8.0,143.0
0.105,-0.075,0.9424,0.958,True,2500,1864.0,492.0,8.0,136.0
0.105,-0.065,0.9472,0.961,True,2500,1876.0,492.0,8.0,124.0
0.105,-0.055,0.952,0.964,True,2500,1888.0,492.0,8.0,112.0
0.105,-0.045,0.9556,0.96625,True,2500,1897.0,492.0,8.0,103.0
0.105,-0.035,0.9588,0.96825,True,2500,1905.0,492.0,8.0,95.0
0.105,-0.025,0.9596,0.96875,True,2500,1907.0,492.0,8.0,93.0
0.105,-0.015,0.9628,0.97075,True,2500,1915.0,492.0,8.0,85.0
0.105,-0.005,0.9636,0.97125,True,2500,1917.0,492.0,8.0,83.0
0.105,0.005,0.9648,0.972,True,2500,1920.0,492.0,8.0,80.0
0.105,0.015,0.9656,0.9725,True,2500,1922.0,492.0,8.0,78.0
0.105,0.025,0.9656,0.9695,True,2500,1926.0,488.0,12.0,74.0
0.105,0.035,0.962,0.953,True,2500,1936.0,469.0,31.0,64.0
0.105,0.045,0.9428,0.89375,True,2500,1951.0,406.0,94.0,49.0
0.105,0.055,0.9016,0.77875,True,2500,1967.0,287.0,213.0,33.0
0.105,0.065,0.8468,0.629,True,2500,1984.0,133.0,367.0,16.0
0.105,0.075,0.8124,0.534,True,2500,1996.0,35.0,465.0,4.0
0.105,0.085,0.8,0.5015,True,2500,1998.0,2.0,498.0,2.0
0.115,-0.125,0.8996,0.932,True,2500,1756.0,493.0,7.0,244.0
0.115,-0.115,0.9032,0.93425,True,2500,1765.0,493.0,7.0,235.0
0.115,-0.105,0.9088,0.93775,True,2500,1779.0,493.0,7.0,221.0
0.115,-0.095,0.9168,0.94275,True,2500,1799.0,493.0,7.0,201.0
0.115,-0.085,0.9216,0.94575,True,2500,1811.0,493.0,7.0,189.0
0.115,-0.075,0.9248,0.94775,True,2500,1819.0,493.0,7.0,181.0
0.115,-0.065,0.93,0.951,True,2500,1832.0,493.0,7.0,168.0
0.115,-0.055,0.9348,0.954,True,2500,1844.0,493.0,7.0,156.0
0.115,-0.045,0.9388,0.9565,True,2500,1854.0,493.0,7.0,146.0
0.115,-0.035,0.942,0.9585,True,2500,1862.0,493.0,7.0,138.0
0.115,-0.025,0.9436,0.9595,True,2500,1866.0,493.0,7.0,134.0
0.115,-0.015,0.9476,0.962,True,2500,1876.0,493.0,7.0,124.0
0.115,-0.005,0.9484,0.9625,True,2500,1878.0,493.0,7.0,122.0
0.115,0.005,0.9504,0.96375,True,2500,1883.0,493.0,7.0,117.0
0.115,0.015,0.9512,0.96425,True,2500,1885.0,493.0,7.0,115.0
0.115,0.025,0.9512,0.96125,True,2500,1889.0,489.0,11.0,111.0
0.115,0.035,0.9476,0.944,True,2500,1900.0,469.0,31.0,100.0
0.115,0.045,0.9316,0.88675,True,2500,1923.0,406.0,94.0,77.0
0.115,0.055,0.896,0.77525,True,2500,1953.0,287.0,213.0,47.0
0.115,0.065,0.8456,0.62825,True,2500,1981.0,133.0,367.0,19.0
0.115,0.075,0.812,0.5337500000000001,True,2500,1995.0,35.0,465.0,5.0
0.115,0.085,0.8,0.5015,True,2500,1998.0,2.0,498.0,2.0
0.125,-0.125,0.876,0.921,True,2500,1692.0,498.0,2.0,308.0
0.125,-0.115,0.8808,0.924,True,2500,1704.0,498.0,2.0,296.0
0.125,-0.105,0.8872,0.928,True,2500,1720.0,498.0,2.0,280.0
0.125,-0.095,0.8964,0.93375,True,2500,1743.0,498.0,2.0,257.0
0.125,-0.085,0.9024,0.9375,True,2500,1758.0,498.0,2.0,242.0
