threshold_A,threshold_B,valid_physical_pair,n,predicted_leakage,predicted_no_leakage,no_leakage_between_A_B,accuracy,precision,recall,f1,tn,fp,fn,tp,balanced_accuracy
0.135,0.005,True,2500,1799.0,701.0,701.0,0.9196,1.0,0.8995,0.94709133982627,500.0,0.0,201.0,1799.0,0.94975
0.075,-0.045,True,2500,2148.0,352.0,352.0,0.9184,0.9180633147113594,0.986,0.9508196721311475,324.0,176.0,28.0,1972.0,0.817
0.125,-0.055,True,2500,1800.0,700.0,700.0,0.9184,0.9988888888888889,0.899,0.9463157894736842,498.0,2.0,202.0,1798.0,0.9475
0.135,-0.005,True,2500,1793.0,707.0,707.0,0.9172,1.0,0.8965,0.9454257843395728,500.0,0.0,207.0,1793.0,0.94825
0.115,-0.095,True,2500,1806.0,694.0,694.0,0.9168,0.9961240310077519,0.8995,0.9453494482396216,493.0,7.0,201.0,1799.0,0.94275
0.075,-0.055,True,2500,2143.0,357.0,357.0,0.9164,0.9178721418572096,0.9835,0.9495534636736664,324.0,176.0,33.0,1967.0,0.81575
0.135,-0.015,True,2500,1789.0,711.0,711.0,0.9156,1.0,0.8945,0.9443124835048826,500.0,0.0,211.0,1789.0,0.9472499999999999
0.135,0.045,True,2500,1963.0,537.0,537.0,0.9148,0.9551706571574121,0.9375,0.9462528387585163,412.0,88.0,125.0,1875.0,0.8807499999999999
0.075,-0.065,True,2500,2137.0,363.0,363.0,0.914,0.9176415535797847,0.9805,0.9480299734106841,324.0,176.0,39.0,1961.0,0.81425
0.075,-0.075,True,2500,2133.0,367.0,367.0,0.9124,0.9174871073605251,0.9785,0.947011855794822,324.0,176.0,43.0,1957.0,0.81325
0.125,-0.065,True,2500,1785.0,715.0,715.0,0.9124,0.9988795518207283,0.8915,0.9421400264200792,498.0,2.0,217.0,1783.0,0.94375
0.145,0.035,True,2500,1826.0,674.0,674.0,0.9112,0.9868565169769989,0.901,0.9419759539989545,476.0,24.0,198.0,1802.0,0.9265
0.075,-0.085,True,2500,2129.0,371.0,371.0,0.9108,0.9173320807891029,0.9765,0.9459917655606684,324.0,176.0,47.0,1953.0,0.81225
0.135,-0.025,True,2500,1776.0,724.0,724.0,0.9104,1.0,0.888,0.940677966101695,500.0,0.0,224.0,1776.0,0.944
0.115,-0.105,True,2500,1786.0,714.0,714.0,0.9088,0.996080627099664,0.8895,0.9397781299524565,493.0,7.0,221.0,1779.0,0.93775
0.075,-0.095,True,2500,2123.0,377.0,377.0,0.9084,0.917098445595855,0.9735,0.9444579189910259,324.0,176.0,53.0,1947.0,0.8107500000000001
0.145,0.025,True,2500,1779.0,721.0,721.0,0.9084,0.9977515458122541,0.8875,0.9394019581899974,496.0,4.0,225.0,1775.0,0.93975
0.135,-0.035,True,2500,1767.0,733.0,733.0,0.9068,1.0,0.8835,0.9381470666312716,500.0,0.0,233.0,1767.0,0.94175
0.075,-0.105,True,2500,2118.0,382.0,382.0,0.9064,0.9169027384324835,0.971,0.9431762991743564,324.0,176.0,58.0,1942.0,0.8095
0.125,-0.075,True,2500,1770.0,730.0,730.0,0.9064,0.9988700564971752,0.884,0.9379310344827586,498.0,2.0,232.0,1768.0,0.94
0.145,0.015,True,2500,1764.0,736.0,736.0,0.9056,1.0,0.882,0.9373007438894793,500.0,0.0,236.0,1764.0,0.9410000000000001
0.075,-0.115,True,2500,2114.0,386.0,386.0,0.9048,0.9167455061494797,0.969,0.9421487603305786,324.0,176.0,62.0,1938.0,0.8085
0.095,0.055,True,2500,2203.0,297.0,297.0,0.9044,0.899682251475261,0.991,0.9431358553414229,279.0,221.0,18.0,1982.0,0.7745
0.075,-0.125,True,2500,2111.0,389.0,389.0,0.9036,0.9166271909047845,0.9675,0.9413767939674046,324.0,176.0,65.0,1935.0,0.80775
